x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,Time
0.039,-0.945,0.086,0.035,-0.984,0.094,0.031,-0.98,0.098,0.031,-0.98,0.102,0.035,-0.98,0.102,0.039,-0.98,0.102,0.031,-0.98,0.102,0.031,-0.984,0.098,0.035,-0.98,0.102,0.035,-0.98,0.098,0.031,-0.984,0.102,0.031,-0.984,0.098,0.035,-0.984,0.098,0.035,-0.977,0.098,0.035,-0.988,0.102,0.039,-0.973,0.102,0.035,-0.984,0.098,0.035,-0.977,0.098,0.035,-0.988,0.098,0.035,-0.984,0.102,0.035,-0.984,0.102,0.035,-0.98,0.102,0.035,-0.984,0.098,0.031,-0.984,0.098,0.035,-0.984,0.098,0.031,-0.988,0.102,0.027,-0.977,0.094,0.031,-0.984,0.098,0.035,-0.98,0.098,0.035,-0.977,0.102,20:01.0
0.039,-0.977,0.098,0.031,-0.98,0.098,0.035,-0.98,0.098,0.027,-0.98,0.102,0.031,-0.984,0.102,0.035,-0.984,0.094,0.039,-0.984,0.102,0.031,-0.984,0.098,0.031,-0.977,0.098,0.035,-0.98,0.098,0.035,-0.98,0.098,0.031,-0.984,0.098,0.023,-0.984,0.098,0.031,-0.98,0.102,0.031,-0.984,0.102,0.031,-0.977,0.098,0.035,-0.98,0.094,0.035,-0.984,0.098,0.031,-0.984,0.102,0.035,-0.984,0.102,0.035,-0.984,0.102,0.035,-0.984,0.094,0.031,-0.977,0.102,0.031,-0.984,0.102,0.027,-0.977,0.102,0.031,-0.98,0.102,0.031,-0.98,0.098,0.031,-0.98,0.102,0.035,-0.98,0.094,0.031,-0.98,0.102,20:02.0
0.035,-0.973,0.102,0.031,-0.98,0.102,0.035,-0.984,0.098,0.035,-0.977,0.102,0.027,-0.98,0.098,0.031,-0.977,0.102,0.035,-0.984,0.098,0.031,-0.984,0.102,0.035,-0.984,0.102,0.027,-0.98,0.102,0.035,-0.984,0.098,0.031,-0.984,0.094,0.031,-0.984,0.102,0.027,-0.98,0.102,0.031,-0.977,0.098,0.039,-0.969,0.098,0.035,-0.98,0.098,0.027,-0.98,0.102,0.027,-0.98,0.102,0.035,-0.984,0.094,0.031,-0.988,0.102,0.031,-0.977,0.102,0.031,-0.977,0.094,0.027,-0.98,0.102,0.035,-0.984,0.09,0.027,-0.98,0.102,0.027,-0.98,0.098,0.035,-0.984,0.098,0.031,-0.988,0.098,0.027,-0.98,0.102,20:03.0
0.031,-0.973,0.098,0.031,-0.984,0.098,0.035,-0.984,0.098,0.031,-0.977,0.098,0.035,-0.988,0.098,0.035,-0.988,0.098,0.035,-0.98,0.102,0.035,-0.984,0.09,0.035,-0.98,0.102,0.035,-0.984,0.102,0.035,-0.988,0.102,0.031,-0.98,0.098,0.031,-0.984,0.098,0.035,-0.988,0.098,0.035,-0.988,0.102,0.035,-0.969,0.098,0.023,-0.977,0.102,0.027,-0.984,0.098,0.035,-0.977,0.102,0.035,-0.984,0.102,0.031,-0.977,0.098,0.035,-0.98,0.102,0.031,-0.977,0.102,0.035,-0.988,0.102,0.027,-0.984,0.102,0.027,-0.98,0.098,0.031,-0.98,0.098,0.031,-0.984,0.098,0.035,-0.984,0.102,0.031,-0.98,0.102,20:04.0
0.031,-0.977,0.098,0.031,-0.98,0.094,0.027,-0.98,0.102,0.035,-0.98,0.098,0.035,-0.98,0.102,0.031,-0.98,0.098,0.031,-0.984,0.102,0.035,-0.984,0.098,0.035,-0.988,0.102,0.035,-0.988,0.102,0.035,-0.98,0.098,0.031,-0.977,0.098,0.035,-0.984,0.094,0.035,-0.984,0.102,0.035,-0.98,0.098,0.035,-0.969,0.102,0.035,-0.984,0.094,0.035,-0.984,0.102,0.031,-0.977,0.098,0.031,-0.984,0.102,0.035,-0.98,0.102,0.031,-0.98,0.098,0.027,-0.984,0.102,0.031,-0.977,0.102,0.035,-0.988,0.102,0.035,-0.98,0.098,0.035,-0.984,0.098,0.031,-0.98,0.098,0.035,-0.977,0.102,0.035,-0.98,0.102,20:05.0
0.039,-0.977,0.094,0.035,-0.977,0.098,0.035,-0.984,0.102,0.031,-0.98,0.105,0.027,-0.98,0.098,0.035,-0.984,0.102,0.031,-0.984,0.102,0.039,-0.992,0.098,0.031,-0.984,0.094,0.031,-0.988,0.098,0.035,-0.984,0.102,0.031,-0.984,0.094,0.031,-0.98,0.098,0.035,-0.984,0.102,0.035,-0.988,0.098,0.035,-0.973,0.102,0.035,-0.988,0.102,0.035,-0.98,0.098,0.035,-0.984,0.102,0.031,-0.98,0.094,0.035,-0.988,0.102,0.035,-0.984,0.098,0.035,-0.98,0.102,0.035,-0.98,0.098,0.039,-0.984,0.098,0.035,-0.984,0.098,0.027,-0.98,0.102,0.031,-0.984,0.102,0.027,-0.98,0.102,0.031,-0.984,0.102,20:06.0
0.031,-0.973,0.102,0.027,-0.977,0.098,0.027,-0.977,0.102,0.035,-0.98,0.102,0.035,-0.98,0.102,0.035,-0.977,0.102,0.031,-0.98,0.102,0.031,-0.977,0.102,0.035,-0.984,0.102,0.039,-0.984,0.102,0.035,-0.988,0.102,0.035,-0.98,0.102,0.035,-0.98,0.102,0.031,-0.98,0.102,0.035,-0.988,0.098,0.039,-0.977,0.102,0.035,-0.98,0.098,0.035,-0.98,0.102,0.035,-0.98,0.098,0.035,-0.977,0.098,0.035,-0.984,0.102,0.035,-0.988,0.098,0.027,-0.98,0.102,0.027,-0.984,0.098,0.035,-0.984,0.098,0.035,-0.977,0.102,0.035,-0.988,0.102,0.035,-0.988,0.098,0.031,-0.984,0.102,0.027,-0.98,0.102,20:07.0
0.035,-0.977,0.102,0.035,-0.98,0.098,0.035,-0.98,0.098,0.031,-0.984,0.102,0.031,-0.984,0.098,0.035,-0.977,0.102,0.031,-0.984,0.098,0.035,-0.984,0.102,0.031,-0.98,0.098,0.031,-0.988,0.102,0.035,-0.98,0.102,0.035,-0.984,0.094,0.031,-0.984,0.102,0.031,-0.984,0.102,0.035,-0.977,0.102,0.035,-0.973,0.098,0.031,-0.977,0.098,0.035,-0.98,0.102,0.035,-0.988,0.102,0.035,-0.977,0.102,0.035,-0.98,0.102,0.035,-0.984,0.102,0.031,-0.988,0.102,0.035,-0.98,0.102,0.035,-0.98,0.105,0.031,-0.98,0.102,0.035,-0.984,0.102,0.031,-0.98,0.098,0.031,-0.984,0.102,0.031,-0.977,0.102,20:08.0
0.035,-0.973,0.102,0.027,-0.98,0.098,0.027,-0.98,0.102,0.035,-0.984,0.102,0.035,-0.984,0.098,0.035,-0.98,0.102,0.035,-0.98,0.102,0.035,-0.984,0.102,0.035,-0.988,0.102,0.035,-0.98,0.102,0.035,-0.98,0.098,0.035,-0.984,0.102,0.031,-0.984,0.098,0.035,-0.984,0.102,0.031,-0.988,0.102,0.035,-0.973,0.098,0.031,-0.98,0.102,0.035,-0.98,0.102,0.031,-0.988,0.102,0.031,-0.984,0.102,0.027,-0.977,0.102,0.031,-0.984,0.102,0.031,-0.98,0.102,0.035,-0.984,0.098,0.035,-0.988,0.098,0.035,-0.98,0.102,0.031,-0.98,0.102,0.035,-0.98,0.098,0.031,-0.984,0.102,0.031,-0.977,0.098,20:09.0
0.027,-0.969,0.094,0.027,-0.977,0.098,0.027,-0.98,0.098,0.035,-0.984,0.102,0.027,-0.977,0.102,0.027,-0.98,0.102,0.031,-0.98,0.102,0.031,-0.977,0.102,0.031,-0.984,0.098,0.035,-0.984,0.105,0.035,-0.988,0.098,0.035,-0.984,0.102,0.035,-0.984,0.102,0.035,-0.984,0.102,0.035,-0.984,0.102,0.035,-0.973,0.094,0.035,-0.98,0.102,0.035,-0.984,0.102,0.031,-0.984,0.102,0.035,-0.977,0.105,0.035,-0.984,0.102,0.031,-0.973,0.102,0.031,-0.977,0.102,0.031,-0.984,0.102,0.035,-0.98,0.102,0.031,-0.98,0.098,0.035,-0.984,0.098,0.031,-0.988,0.102,0.031,-0.98,0.102,0.035,-0.98,0.102,20:10.0
