Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
153,134,20,2,465,0,10,0,0
491,340,311,1,386,0,10,0,0
12,31,11,0,361,0,0,9,1
19,11,6,0,361,0,0,8,2
58,102,87,2,351,0,0,9,1
521,152,141,5,481,0,10,0,0
338,118,114,5,232,0,10,0,0
199,96,89,2,164,0,10,0,0
42,106,13,0,35,0,0,9,1
0,0,0,0,0,0,0,10,0
199,210,89,3,73,0,10,0,0
216,212,61,2,69,0,10,0,0
321,101,100,3,162,0,10,0,0
70,67,23,3,247,0,10,0,0
27,72,20,1,95,0,0,4,6
142,161,142,3,99,0,10,0,0
29,74,34,1,177,7,0,0,3
4,117,55,1,146,0,0,0,10
50,84,48,1,139,0,0,0,10
97,159,62,3,141,0,10,0,0
39,106,43,3,113,1,0,0,9
2,39,19,0,118,0,0,0,10
15,14,3,1,123,0,0,0,10
9,60,9,1,112,0,0,0,10
44,32,35,1,92,0,0,0,10
138,107,133,2,112,0,10,0,0
288,212,385,4,412,0,10,0,0
86,109,84,2,866,0,10,0,0
151,135,35,1,1003,0,10,0,0
57,69,27,1,498,3,0,0,7
0,28,8,0,481,4,0,0,6
9,20,11,1,755,3,0,0,7
13,67,92,1,508,0,0,0,10
13,104,117,0,329,0,0,0,10
2,23,8,0,644,0,0,0,10
429,310,283,1,865,0,10,0,0
226,90,162,1,993,0,10,0,0
163,28,102,1,751,0,10,0,0
240,59,73,2,1155,0,10,0,0
135,86,27,2,1016,0,10,0,0
61,76,81,2,937,0,0,0,10
22,32,32,1,986,0,0,0,10
26,36,63,1,603,0,0,0,10
17,68,5,0,758,0,0,0,10
13,100,32,0,716,0,0,0,10
0,0,0,0,883,0,0,0,10
5,131,61,0,774,0,0,0,10
0,22,0,0,813,0,0,0,10
6,43,19,0,610,0,0,0,10
0,106,0,0,632,0,0,0,10
11,108,39,1,656,0,0,0,10
0,0,0,0,884,0,0,0,10
17,26,1,1,801,0,0,0,10
0,11,0,0,1167,0,0,0,10
3,67,39,0,892,0,0,0,10
0,108,40,0,1034,0,0,0,10
6,10,1,1,1019,0,0,6,4
107,149,159,2,833,0,10,0,0
96,45,68,0,1129,0,10,0,0
8,11,50,1,933,0,0,10,0
3,0,38,0,867,0,0,10,0
68,6,86,1,1143,0,0,10,0
43,0,51,1,1136,0,0,10,0
0,16,13,0,1059,0,0,10,0
81,160,93,3,1081,0,10,0,0
125,269,146,3,1334,0,10,0,0
0,36,30,0,540,0,0,10,0
0,20,25,0,660,0,0,10,0
0,0,0,0,1232,0,0,10,0
0,26,13,0,1418,0,0,10,0
0,8,0,0,818,0,0,10,0
0,0,0,0,615,0,0,10,0
6,58,11,1,1051,0,0,10,0
9,38,12,0,748,0,0,10,0
0,15,4,0,854,0,0,10,0
71,73,110,2,925,0,10,0,0
10,103,69,1,388,0,0,10,0
27,63,26,0,329,0,0,10,0
23,16,20,0,349,0,0,10,0
0,2,0,0,422,0,0,10,0
0,36,3,0,349,0,0,10,0
11,25,9,1,354,0,0,10,0
9,106,33,0,316,0,0,10,0
0,27,8,0,362,0,0,10,0
0,43,34,0,360,0,0,10,0
61,133,51,2,334,0,0,10,0
0,63,6,0,278,0,0,10,0
23,12,2,1,265,0,0,10,0
15,122,61,1,286,0,0,10,0
0,28,6,0,247,0,0,10,0
0,1,0,0,226,0,0,10,0
